"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sat Jun 27 17:16:11 CST 2020","Sat Jun 27 17:16:11 CST 2020","7","","test_lesson","TestLesson","","","新增课程用例","新增课程"
"failed","Sat Jun 27 17:16:11 CST 2020","Sat Jun 27 17:16:11 CST 2020","6","","test_lesson","TestLesson","","","列出课程用例","列出课程"
"failed","Sat Jun 27 17:16:11 CST 2020","Sat Jun 27 17:16:11 CST 2020","7","","test_lesson","TestLesson","","","新增课程用例","新增课程"
"broken","Sat Jun 27 17:16:11 CST 2020","Sat Jun 27 17:16:11 CST 2020","6","","test_lesson","TestLesson","","","删除课程用例","删除课程"
"passed","Sat Jun 27 17:16:11 CST 2020","Sat Jun 27 17:16:11 CST 2020","8","","test_lesson","TestLesson","","","列出课程用例","列出课程"
"failed","Sat Jun 27 17:16:11 CST 2020","Sat Jun 27 17:16:11 CST 2020","7","","test_lesson","TestLesson","","","新增课程用例","新增课程"
"broken","Sat Jun 27 17:16:12 CST 2020","Sat Jun 27 17:16:12 CST 2020","6","","test_lesson","TestLesson","","","删除课程用例","删除课程"
"broken","Sat Jun 27 17:16:12 CST 2020","Sat Jun 27 17:16:12 CST 2020","5","","test_lesson","TestLesson","","","删除课程用例","删除课程"
"broken","Sat Jun 27 17:16:12 CST 2020","Sat Jun 27 17:16:12 CST 2020","5","","test_lesson","TestLesson","","","删除课程用例","删除课程"
"failed","Sat Jun 27 17:16:10 CST 2020","Sat Jun 27 17:16:10 CST 2020","6","","test_lesson","TestLesson","","","新增课程用例","新增课程"
"passed","Sat Jun 27 17:16:10 CST 2020","Sat Jun 27 17:16:10 CST 2020","84","","test_lesson","TestLesson","","","新增课程用例","新增课程"
"broken","Sat Jun 27 17:16:11 CST 2020","Sat Jun 27 17:16:11 CST 2020","4","","test_lesson","TestLesson","","","删除课程用例","删除课程"
"passed","Sat Jun 27 17:16:14 CST 2020","Sat Jun 27 17:16:14 CST 2020","358","","test_login","","","","登录接口用例","登录操作"
"passed","Sat Jun 27 17:16:11 CST 2020","Sat Jun 27 17:16:11 CST 2020","79","","test_lesson","TestLesson","","","新增课程用例","新增课程"
"failed","Sat Jun 27 17:16:11 CST 2020","Sat Jun 27 17:16:11 CST 2020","7","","test_lesson","TestLesson","","","新增课程用例","新增课程"
"passed","Sat Jun 27 17:16:10 CST 2020","Sat Jun 27 17:16:11 CST 2020","94","","test_lesson","TestLesson","","","新增课程用例","新增课程"
"passed","Sat Jun 27 17:16:14 CST 2020","Sat Jun 27 17:16:14 CST 2020","125","","test_login","","","","登录接口用例","登录操作"
"failed","Sat Jun 27 17:16:11 CST 2020","Sat Jun 27 17:16:11 CST 2020","8","","test_lesson","TestLesson","","","新增课程用例","新增课程"
"failed","Sat Jun 27 17:16:11 CST 2020","Sat Jun 27 17:16:11 CST 2020","7","","test_lesson","TestLesson","","","新增课程用例","新增课程"
"passed","Sat Jun 27 17:16:14 CST 2020","Sat Jun 27 17:16:14 CST 2020","137","","test_login","","","","登录接口用例","登录操作"
"passed","Sat Jun 27 17:16:12 CST 2020","Sat Jun 27 17:16:12 CST 2020","10","","test_lesson","TestLesson","","","删除课程用例","删除课程"
"passed","Sat Jun 27 17:16:11 CST 2020","Sat Jun 27 17:16:11 CST 2020","16","","test_lesson","TestLesson","","","列出课程用例","列出课程"
"broken","Sat Jun 27 17:16:12 CST 2020","Sat Jun 27 17:16:12 CST 2020","6","","test_lesson","TestLesson","","","删除课程用例","删除课程"
"broken","Sat Jun 27 17:16:11 CST 2020","Sat Jun 27 17:16:11 CST 2020","7","","test_lesson","TestLesson","","","列出课程用例","列出课程"
"broken","Sat Jun 27 17:16:11 CST 2020","Sat Jun 27 17:16:11 CST 2020","5","","test_lesson","TestLesson","","","删除课程用例","删除课程"
"passed","Sat Jun 27 17:16:14 CST 2020","Sat Jun 27 17:16:14 CST 2020","131","","test_login","","","","登录接口用例","登录操作"
"failed","Sat Jun 27 17:16:10 CST 2020","Sat Jun 27 17:16:10 CST 2020","7","","test_lesson","TestLesson","","","新增课程用例","新增课程"
"failed","Sat Jun 27 17:16:11 CST 2020","Sat Jun 27 17:16:11 CST 2020","8","","test_lesson","TestLesson","","","新增课程用例","新增课程"
"failed","Sat Jun 27 17:16:10 CST 2020","Sat Jun 27 17:16:10 CST 2020","7","","test_lesson","TestLesson","","","新增课程用例","新增课程"
"broken","Sat Jun 27 17:16:11 CST 2020","Sat Jun 27 17:16:11 CST 2020","5","","test_lesson","TestLesson","","","列出课程用例","列出课程"
"failed","Sat Jun 27 17:16:11 CST 2020","Sat Jun 27 17:16:11 CST 2020","6","","test_lesson","TestLesson","","","新增课程用例","新增课程"
"broken","Sat Jun 27 17:16:11 CST 2020","Sat Jun 27 17:16:11 CST 2020","5","","test_lesson","TestLesson","","","列出课程用例","列出课程"
"failed","Sat Jun 27 17:16:11 CST 2020","Sat Jun 27 17:16:11 CST 2020","7","","test_lesson","TestLesson","","","新增课程用例","新增课程"
"passed","Sat Jun 27 17:16:10 CST 2020","Sat Jun 27 17:16:10 CST 2020","108","","test_lesson","TestLesson","","","新增课程用例","新增课程"
"failed","Sat Jun 27 17:16:11 CST 2020","Sat Jun 27 17:16:11 CST 2020","7","","test_lesson","TestLesson","","","新增课程用例","新增课程"
"passed","Sat Jun 27 17:16:11 CST 2020","Sat Jun 27 17:16:11 CST 2020","93","","test_lesson","TestLesson","","","新增课程用例","新增课程"
"failed","Sat Jun 27 17:16:11 CST 2020","Sat Jun 27 17:16:11 CST 2020","7","","test_lesson","TestLesson","","","新增课程用例","新增课程"
"failed","Sat Jun 27 17:16:11 CST 2020","Sat Jun 27 17:16:11 CST 2020","6","","test_lesson","TestLesson","","","新增课程用例","新增课程"
"broken","Sat Jun 27 17:16:11 CST 2020","Sat Jun 27 17:16:11 CST 2020","5","","test_lesson","TestLesson","","","列出课程用例","列出课程"
"broken","Sat Jun 27 17:16:11 CST 2020","Sat Jun 27 17:16:11 CST 2020","6","","test_lesson","TestLesson","","","列出课程用例","列出课程"
"passed","Sat Jun 27 17:16:07 CST 2020","Sat Jun 27 17:16:07 CST 2020","73","","test_lesson","TestLesson","","","新增课程用例","新增课程"
"passed","Sat Jun 27 17:16:10 CST 2020","Sat Jun 27 17:16:10 CST 2020","94","","test_lesson","TestLesson","","","新增课程用例","新增课程"
"passed","Sat Jun 27 17:16:11 CST 2020","Sat Jun 27 17:16:11 CST 2020","7","","test_lesson","TestLesson","","","列出课程用例","列出课程"
"broken","Sat Jun 27 17:16:11 CST 2020","Sat Jun 27 17:16:11 CST 2020","6","","test_lesson","TestLesson","","","列出课程用例","列出课程"
"failed","Sat Jun 27 17:16:11 CST 2020","Sat Jun 27 17:16:11 CST 2020","7","","test_lesson","TestLesson","","","新增课程用例","新增课程"
"passed","Sat Jun 27 17:16:11 CST 2020","Sat Jun 27 17:16:11 CST 2020","7","","test_lesson","TestLesson","","","列出课程用例","列出课程"
"passed","Sat Jun 27 17:16:15 CST 2020","Sat Jun 27 17:16:15 CST 2020","3","","test_login","","","","test_login_image","这里只是做一个web ui自动化的截图效果"
"passed","Sat Jun 27 17:16:10 CST 2020","Sat Jun 27 17:16:10 CST 2020","18","","test_lesson","TestLesson","","","新增课程用例","新增课程"
"broken","Sat Jun 27 17:16:11 CST 2020","Sat Jun 27 17:16:11 CST 2020","6","","test_lesson","TestLesson","","","列出课程用例","列出课程"
"failed","Sat Jun 27 17:16:11 CST 2020","Sat Jun 27 17:16:11 CST 2020","7","","test_lesson","TestLesson","","","新增课程用例","新增课程"
